TRIBUNAL trf4 | PROCESSO ---> 5005946782022.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5005946782022.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0300885932018.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0300885932018.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5005228812022.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5005228812022.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5002163782022.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5002163782022.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5002103082022.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0300880712018.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0300880712018.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0303228622018.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0303228622018.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0301475412016.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0301475412016.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0301276822017.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0301276822017.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0300763222014.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0300763222014.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0302767272017.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 0302767272017.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5002189-73.2022.4.04.7200/SC 
TRIBUNAL trf4 | PROCESSO ---> 5002189-73.2022.4.04.7200/SC 
TRIBUNAL trf4 | PROCESSO ---> 5000340-33.2022.4.04.7211/SC 
TRIBUNAL trf4 | PROCESSO ---> 5005777-71.2020.4.04.7002/PR 
TRIBUNAL trf4 | PROCESSO ---> 5005777-71.2020.4.04.7002/PR 
TRIBUNAL trf4 | PROCESSO ---> 0006872412013.8.24.0031/SC 
TRIBUNAL trf4 | PROCESSO ---> 0006872412013.8.24.0031/SC 
TRIBUNAL trf4 | PROCESSO ---> 5002345482019.8.24.0031/SC 
TRIBUNAL trf4 | PROCESSO ---> 5002345482019.8.24.0031/SC 
TRIBUNAL trf4 | PROCESSO ---> 5001165-45.2020.4.04.7211/SC 
TRIBUNAL trf4 | PROCESSO ---> 5001850-52.2020.4.04.7211/SC 
TRIBUNAL trf4 | PROCESSO ---> 5008946-84.2021.4.04.7114/RS 
TRIBUNAL trf4 | PROCESSO ---> 5001531-50.2021.4.04.7114/RS 
TRIBUNAL trf4 | PROCESSO ---> 5001531-50.2021.4.04.7114/RS 
TRIBUNAL trf4 | PROCESSO ---> 5004279-89.2020.4.04.7114/RS 
TRIBUNAL trf4 | PROCESSO ---> 5004279-89.2020.4.04.7114/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000338-94.2021.4.04.7115/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000338-94.2021.4.04.7115/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000862-94.2021.4.04.7114/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000997-14.2018.4.04.7211/SC 
TRIBUNAL trf4 | PROCESSO ---> 5001292-51.2018.4.04.7211/SC 
TRIBUNAL trf4 | PROCESSO ---> 5000727092015.8.21.0123/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000116372007.8.21.0123/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000116372007.8.21.0123/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000615742014.8.21.0123/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000078172013.8.21.0090/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000864462022.8.21.0090/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000864462022.8.21.0090/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000178352014.8.21.0090/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000825492022.8.21.0090/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000825492022.8.21.0090/RS 
TRIBUNAL trf4 | PROCESSO ---> 5003889672022.8.21.0090/RS 
TRIBUNAL trf4 | PROCESSO ---> 5003889672022.8.21.0090/RS 
TRIBUNAL trf4 | PROCESSO ---> 5000362-83.2021.4.04.7128/RS 
TRIBUNAL trf4 | PROCESSO ---> 5001680-69.2013.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5001680-69.2013.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5050317-22.2011.4.04.7100/RS 
TRIBUNAL trf4 | PROCESSO ---> 5015139-07.2014.4.04.7100/RS 
